"Stage","NodeType","EventProfile","SpiritStoneElement","ThemeZh","ThemeEn","DetailZh","DetailEn","EventMode","CooldownMonths","BattleExpReward","BattleSpiritStoneReward","NonBattleExpReward","NonBattleSpiritStoneReward","Notes"
"75","Battle","DefaultBattle","Earth","登天阶","Ascension Path","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","618","387","156","154","常规推进战"
"76","Elite","DefaultElite","Metal","登天阶","Ascension Path","高压精英战，首领战前的重要门槛。","A high-pressure elite battle that serves as an important gate before the boss.","None","0","626","392","158","156","首领前精英"
"77","Battle","DefaultBattle","Wood","登天阶","Ascension Path","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","634","397","160","158","测试期替换为战斗"
"78","Battle","DefaultBattle","Water","登天阶","Ascension Path","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","642","402","162","160","常规推进战"
"79","Elite","DefaultElite","Fire","登天阶","Ascension Path","首领前压轴精英战，决定你能否带着完整状态挑战本章首领。","A final elite battle before the boss that decides whether you enter the chapter climax in good shape.","None","0","650","407","164","162","首领前终检"
"80","Boss","DefaultBoss","Earth","登天阶","Ascension Path","章节首领战，取胜后方可进入下一重区域。","A chapter boss battle. Victory unlocks the next region.","None","0","658","412","166","164","章节首领"
"81","Battle","DefaultBattle","Metal","五行天阙","Fivefold Apex","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","666","417","168","166","测试期替换为战斗"
"82","Battle","DefaultBattle","Wood","五行天阙","Fivefold Apex","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","674","422","170","168","常规推进战"
"83","Elite","DefaultElite","Water","五行天阙","Fivefold Apex","精英战斗，成长更多，掉落也更好。","Elite battle with higher growth and better loot.","None","0","682","427","172","170","章节前段精英"
"84","Battle","DefaultBattle","Fire","五行天阙","Fivefold Apex","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","690","432","174","172","测试期替换为战斗"
"85","Battle","DefaultBattle","Earth","五行天阙","Fivefold Apex","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","698","437","176","174","常规推进战"
"86","Battle","DefaultBattle","Metal","五行天阙","Fivefold Apex","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","706","442","178","176","常规推进战"
"87","Battle","DefaultBattle","Wood","五行天阙","Fivefold Apex","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","714","447","180","178","测试期替换为战斗"
"88","Elite","DefaultElite","Water","五行天阙","Fivefold Apex","精英战斗，强度略升，是章节中段的第一次检验。","An elite battle that checks whether your mid-chapter build is online.","None","0","722","452","182","180","章节中段精英"
"89","Battle","DefaultBattle","Fire","五行天阙","Fivefold Apex","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","730","457","184","182","常规推进战"
"90","Battle","DefaultBattle","Earth","五行天阙","Fivefold Apex","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","738","462","186","184","常规推进战"
"91","Battle","DefaultBattle","Metal","五行天阙","Fivefold Apex","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","746","467","188","186","测试期替换为战斗"
"92","Elite","DefaultElite","Wood","五行天阙","Fivefold Apex","精英战斗，掉落更优，适合检验这一段的资源转化效率。","An elite battle with better loot that tests your resource conversion this chapter.","None","0","754","472","190","188","章节中后段精英"
"93","Battle","DefaultBattle","Water","五行天阙","Fivefold Apex","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","762","477","192","190","常规推进战"
"94","Battle","DefaultBattle","Fire","五行天阙","Fivefold Apex","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","770","482","194","192","测试期替换为战斗"
"95","Battle","DefaultBattle","Earth","五行天阙","Fivefold Apex","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","778","487","196","194","常规推进战"
"96","Elite","DefaultElite","Metal","五行天阙","Fivefold Apex","高压精英战，首领战前的重要门槛。","A high-pressure elite battle that serves as an important gate before the boss.","None","0","786","492","198","196","首领前精英"
"97","Battle","DefaultBattle","Wood","五行天阙","Fivefold Apex","测试期间事件点前置到前几关，此处暂以普通战斗替代。","During testing event nodes are front-loaded. This slot is temporarily a standard battle.","None","0","794","497","200","198","测试期替换为战斗"
"98","Battle","DefaultBattle","Water","五行天阙","Fivefold Apex","普通战斗，可获得修为、灵石与装备掉落。","Standard battle for growth, spirit stones, and equipment drops.","None","0","802","502","202","200","常规推进战"
"99","Elite","DefaultElite","Fire","五行天阙","Fivefold Apex","首领前压轴精英战，决定你能否带着完整状态挑战本章首领。","A final elite battle before the boss that decides whether you enter the chapter climax in good shape.","None","0","810","507","204","202","首领前终检"
"100","Boss","DefaultBoss","Earth","五行天阙","Fivefold Apex","最终首领战。击败此敌后，本轮修行才算真正通关。","The final boss battle. Defeat this enemy to fully clear the run.","None","0","818","512","206","204","终局首领"
